sample_location,sample_date,Fe2O3_percent,Fe_percent,SiO2_percent,SO3_percent,Na2O_percent,CaO_percent,MnO_percent,Al2O3_percent,Cl_percent,MgO_percent,Cr2O3_percent,Co2O3_percent,corrosion_severity,corrosion_implication
Heater_Unit_3,31/12/2015 01:01,30.865,20.935,12.317,2.603,2.333,4.803,1.201,7.648,0.681,3.887,0.637,0.374,High,"Immediate attention required, consider replacement"
Heater_Unit_3,31/12/2015 02:01,26.749,15.531,12.009,1.77,2.27,4.762,1.273,7.131,0.767,3.426,0.721,0.405,Moderate,"Increased monitoring required, plan maintenance"
Discharge_Point,31/12/2015 03:01,34.332,19.073,13.33,1.944,2.297,4.697,1.2,6.474,0.808,4.567,0.979,0.465,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,31/12/2015 04:01,30.492,20.746,9.906,1.307,2.047,4.384,1.129,5.963,1.057,3.623,0.73,0.445,Moderate,"Increased monitoring required, plan maintenance"
Filter_Unit_2,31/12/2015 05:01,28.898,18.888,10.98,2.231,2.423,4.688,1.215,6.302,1.011,3.861,0.861,0.387,High,"Immediate attention required, consider replacement"
Pipeline_Inspection_2,31/12/2015 06:01,31.219,18.076,13.986,1.782,2.255,5.669,1.353,7.474,0.978,2.677,0.867,0.44,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,31/12/2015 07:01,29.371,17.523,12.212,2.247,1.682,4.564,1.54,6.693,0.686,4.05,0.965,0.439,Moderate,"Increased monitoring required, plan maintenance"
Onshore_Suction_Point,31/12/2015 08:01,34.573,16.667,12.941,1.587,2.066,4.807,1.372,7.44,0.963,3.439,1.012,0.402,High,"Immediate attention required, consider replacement"
Heater_Unit_1,31/12/2015 09:01,34.577,19.944,11.638,2.174,2.014,4.995,1.212,6.432,0.875,2.886,0.896,0.388,High,"Immediate attention required, consider replacement"
Discharge_Point,31/12/2015 10:01,30.642,19.805,13.976,2.142,2.302,5.792,1.166,6.324,0.714,2.722,0.924,0.423,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,31/12/2015 11:01,32.387,17.701,11.26,2.135,2.779,5.036,1.381,6.908,1.111,3.089,0.685,0.469,High,"Immediate attention required, consider replacement"
Filter_Unit_1,31/12/2015 12:01,37.012,18.645,11.288,2.008,2.088,4.537,1.517,6.285,0.869,4.012,1.015,0.443,High,"Immediate attention required, consider replacement"
Discharge_Point,31/12/2015 13:01,35.678,19.126,10.901,2.404,2.943,4.599,1.239,6.653,0.851,3.485,0.739,0.562,High,"Immediate attention required, consider replacement"
Onshore_Suction_Point,31/12/2015 14:01,31.657,19.444,10.636,1.855,2.452,4.972,1.739,6.084,1.104,3.404,0.956,0.395,High,"Immediate attention required, consider replacement"
Offshore_Suction_Point,31/12/2015 15:01,32.586,18.263,10.544,2.025,1.937,4.471,1.393,8.617,0.931,2.994,0.916,0.33,High,"Immediate attention required, consider replacement"
Pipeline_Inspection_2,31/12/2015 16:01,32.111,20.909,11.087,1.877,2.415,4.339,1.402,7.189,0.748,3.821,0.876,0.384,High,"Immediate attention required, consider replacement"
Filter_Unit_1,31/12/2015 17:01,32.043,16.836,11.635,2.289,2.064,5.286,0.99,7.371,1.057,3.478,0.836,0.518,High,"Immediate attention required, consider replacement"
Discharge_Point,31/12/2015 18:01,34.065,18.298,12.5,1.766,2.041,4.171,1.55,7.219,0.977,4.102,0.748,0.426,High,"Immediate attention required, consider replacement"
Heater_Unit_1,31/12/2015 19:01,31.173,18.907,11.489,1.811,2.396,5.816,1.318,5.616,1.119,3.77,1.006,0.376,High,"Immediate attention required, consider replacement"
Discharge_Point,31/12/2015 20:01,34.372,18.805,10.264,1.795,1.933,4.444,1.378,7.389,0.928,3.757,0.908,0.467,High,"Immediate attention required, consider replacement"
