sample_location,sample_date,Fe2O3_percent,Fe_percent,SiO2_percent,SO3_percent,Na2O_percent,CaO_percent,MnO_percent,Al2O3_percent,Cl_percent,MgO_percent,Cr2O3_percent,Co2O3_percent,corrosion_severity,corrosion_implication
Songosongo,01/04/2021,76.87,53.76,21.58,1.49,0.05,0.2,0.1,0.5,0.25,0.1,0.05,0.05,Moderate,Selective corrosion activity
Kigoma,12/04/2020,48.7,34.06,34.4,0.07,0.35,7.6,2.9,0.72,0.11,1.8,0.2,0.55,Low,Light surface scaling
Njombe,31/01/2023,72.83,50.94,26.32,1.89,0.05,0.2,0.1,0.5,0.54,0.1,0.05,0.05,Moderate,Selective corrosion activity
Kigoma,30/09/2022,78.97,55.24,9.97,0.82,0.12,2.47,0.16,2.72,1.18,0.6,1.55,0.5,High,Severe corrosion (oxidation and MIC)
Iringa,03/07/2022,72.73,50.87,20.36,1.04,0.33,0.36,0.11,0.35,0.43,1.21,0.94,0.73,Moderate,Uniform corrosion with scaling
Madimba,25/07/2021,63.87,44.67,24.8,1.16,0.81,1.29,0.16,1.41,0.22,1.77,0.11,0.23,Low,Acceptable corrosion rates
Iringa,23/02/2021,79.79,55.81,6.38,1.34,0.87,3.3,1.97,1.29,1.48,0.5,0.69,0.51,High,Extensive uniform corrosion
Tanga,22/12/2020,67.32,47.09,25.36,0.27,0.03,0.22,1.37,0.74,0.36,1.21,0.96,0.19,Moderate,Moderate crevice corrosion
Cyclone,24/09/2024,73.8,51.61,20.47,1.15,0.1,1.73,0.76,0.43,0.31,0.38,0.19,0.58,Moderate,Moderate pitting observed
Njombe,10/05/2020,78.23,54.72,7.67,4.12,0.89,2.99,0.06,0.66,0.41,0.46,1.39,0.53,Severe,Metal loss in carbon steel
Mbeya,02/05/2020,53.49,37.41,26.79,0.29,0.14,5.98,1.99,5.07,0.31,1.42,0.74,0.22,Low,Slight discoloration only
Bukoba,18/01/2021,56.79,39.72,33.58,0.61,0.83,2.87,0.6,0.93,0.22,0.14,0.36,0.75,Low,Acceptable corrosion rates
Pemba,14/06/2022,93.3,65.25,1.17,2.17,0.03,0.7,0.29,0.5,1.42,0.17,0.06,0.19,High,Severe corrosion (oxidation and MIC)
Singida,10/08/2022,58.9,41.19,26.98,1.16,0.19,0.55,1.86,2.95,0.6,2.77,1.04,0.7,Moderate,Selective corrosion activity
Bukoba,31/08/2025,88.94,62.21,4.95,3.4,0.05,0.54,0.26,0.7,0.72,0.18,0.08,0.17,Severe,Rapid corrosion propagation
Dar es Salaam,18/04/2020,71.15,49.76,26.24,1.61,0.01,0.11,0.08,0.28,0.37,0.1,0.02,0.03,Moderate,Erosive wear from particulate ingress
Mbeya,25/03/2022,67.22,47.02,22.2,1.13,0.19,1.44,0.54,3.45,0.62,1.1,0.56,0.07,Moderate,Selective corrosion activity
Dodoma,14/09/2024,63.51,44.42,36.79,1.0,0.05,0.2,0.1,0.5,0.19,0.1,0.05,0.05,Very Low,Optimal material performance
Mtwara,21/06/2022,43.33,30.31,43.42,0.66,0.12,3.46,0.37,4.78,0.19,0.2,0.05,0.08,Low,Acceptable corrosion rates
Shinyanga,13/01/2025,56.64,39.61,25.52,0.71,1.36,1.68,0.4,5.59,0.17,2.12,1.76,0.59,Moderate,Moderate crevice corrosion
Tabora,13/02/2023,80.64,56.4,9.26,1.46,0.21,0.97,0.55,2.92,1.29,0.93,0.99,0.69,Severe,Critical stress corrosion cracking
Mtwara,27/01/2020,72.27,50.55,13.65,1.53,0.36,3.85,0.73,2.54,0.74,1.69,0.03,0.73,Moderate,General surface corrosion
Songosongo,15/10/2021,37.77,26.42,43.67,1.14,1.59,2.91,0.91,4.45,0.25,1.05,1.51,0.64,Low,Acceptable corrosion rates
Singida,27/09/2024,76.82,53.73,1.63,2.63,0.29,6.48,1.09,3.33,1.0,0.42,1.53,0.5,Severe,Severe localized attack
Madimba,25/10/2023,62.89,43.99,38.34,1.18,0.05,0.2,0.1,0.5,0.18,0.1,0.05,0.05,Low,Protective oxide layer formation
Lindi,12/02/2023,50.97,35.65,33.75,0.9,1.91,1.74,2.61,2.29,0.39,0.74,0.03,0.78,Low,Minor surface oxidation
Njombe,28/09/2021,47.15,32.98,32.12,1.16,1.88,3.2,1.9,5.46,0.27,1.79,0.1,0.23,Very Low,Excellent corrosion resistance
Madimba,31/05/2022,92.81,64.91,7.82,2.49,0.05,0.2,0.1,0.5,0.71,0.1,0.05,0.05,High,Extensive uniform corrosion
Arusha,10/10/2023,43.55,30.46,33.76,0.43,0.36,6.67,1.93,8.65,0.08,1.1,1.63,0.55,Low,Light surface scaling
Iringa,22/02/2021,49.54,34.65,43.18,0.51,0.98,0.18,0.91,0.4,0.35,1.62,0.22,0.48,Low,Light surface scaling
Tabora,14/01/2021,64.54,45.14,12.9,0.62,0.76,7.13,2.84,6.96,0.71,1.0,1.44,0.68,Moderate,Moderate pitting observed
Madimba,05/04/2024,43.02,30.09,43.76,0.16,0.17,3.86,1.87,1.4,0.26,0.87,1.35,0.42,Low,Acceptable corrosion rates
Lindi,31/01/2021,85.4,59.73,7.07,3.95,0.23,0.39,0.11,0.93,1.02,0.11,0.3,0.49,Severe,Rapid corrosion propagation
Mbeya,10/01/2024,49.88,34.89,43.64,1.04,0.51,0.87,0.29,2.0,0.1,0.45,0.36,0.27,Low,Minor surface oxidation
Pemba,09/11/2023,63.38,44.33,23.05,1.06,0.98,2.65,0.23,4.01,0.18,1.92,0.1,0.23,Moderate,Moderate pitting observed
Tanga,19/12/2022,89.97,62.92,3.3,1.48,0.35,1.1,0.38,1.02,0.81,0.42,0.04,0.21,Severe,Metal loss in carbon steel
Njombe,26/06/2020,92.9,64.98,6.85,2.69,0.05,0.2,0.1,0.5,0.52,0.1,0.05,0.05,Severe,Rapid corrosion propagation
Morogoro,24/02/2025,70.62,49.39,19.98,1.6,0.1,1.75,1.23,1.77,0.21,0.55,0.38,0.3,Moderate,Uniform corrosion with scaling
Bukoba,26/05/2021,68.13,47.65,27.78,0.78,0.09,0.21,0.17,0.49,0.54,0.26,0.18,0.24,Moderate,Uniform corrosion with scaling
Iringa,30/03/2024,60.87,42.57,32.16,0.11,0.49,0.32,0.62,2.63,0.19,1.21,0.69,0.21,Low,Protective oxide layer formation
Mtwara,18/11/2020,51.75,36.19,33.03,1.12,0.75,4.67,0.6,1.77,0.25,0.95,1.02,0.2,Low,Minimal corrosion activity
